kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,tahun,persentase_bayi_gizi_buruk,persentase_balita_kurang_gizi,persentase_penduduk_komplain,persentase_kasus_ims
32,JAWA BARAT,3201,KABUPATEN BOGOR,77.43,2010,,,,
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.1,2010,,,,
32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.02,2010,,,,
32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.44,2010,,,,
32,JAWA BARAT,3205,KABUPATEN GARUT,77.44,2010,,,,
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73.14,2010,,,,
32,JAWA BARAT,3207,KABUPATEN CIAMIS,76.91,2010,,,,
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.06,2010,,,,
32,JAWA BARAT,3209,KABUPATEN CIREBON,78.6,2010,,,,
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,74.18,2010,,,,
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.5,2010,,,,
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,76.91,2010,,,,
32,JAWA BARAT,3213,KABUPATEN SUBANG,78.53,2010,,,,
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76.73,2010,,,,
32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.0,2010,,,,
32,JAWA BARAT,3216,KABUPATEN BEKASI,81.43,2010,,,,
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.23,2010,,,,
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,2010,,,,
32,JAWA BARAT,3271,KOTA BOGOR,80.83,2010,,,,
32,JAWA BARAT,3272,KOTA SUKABUMI,79.46,2010,,,,
32,JAWA BARAT,3273,KOTA BANDUNG,82.64,2010,,,,
32,JAWA BARAT,3274,KOTA CIREBON,79.41,2010,,,,
32,JAWA BARAT,3275,KOTA BEKASI,83.27,2010,,,,
32,JAWA BARAT,3276,KOTA DEPOK,82.82,2010,,,,
32,JAWA BARAT,3277,KOTA CIMAHI,82.35,2010,,,,
32,JAWA BARAT,3278,KOTA TASIKMALAYA,78.05,2010,,,,
32,JAWA BARAT,3279,KOTA BANJAR,76.82,2010,,,,
32,JAWA BARAT,3201,KABUPATEN BOGOR,77.52,2011,,,,
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.22,2011,,,,
32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.17,2011,,,,
32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.45,2011,,,,
32,JAWA BARAT,3205,KABUPATEN GARUT,77.52,2011,,,,
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73.34,2011,,,,
32,JAWA BARAT,3207,KABUPATEN CIAMIS,77.06,2011,,,,
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.16,2011,,,,
32,JAWA BARAT,3209,KABUPATEN CIREBON,78.69,2011,,,,
