id,kode_provinsi,nama_provinsi,umur,jenis_kelamin,jumlah_kepala_keluarga,satuan,tahun
1,32,JAWA BARAT,10-14,LAKI-LAKI,508,KEPALA KELUARGA,2015
2,32,JAWA BARAT,10-14,PEREMPUAN,498,KEPALA KELUARGA,2015
3,32,JAWA BARAT,15-19,LAKI-LAKI,11211,KEPALA KELUARGA,2015
4,32,JAWA BARAT,15-19,PEREMPUAN,15830,KEPALA KELUARGA,2015
5,32,JAWA BARAT,20-24,LAKI-LAKI,232243,KEPALA KELUARGA,2015
6,32,JAWA BARAT,20-24,PEREMPUAN,148053,KEPALA KELUARGA,2015
7,32,JAWA BARAT,25-29,LAKI-LAKI,800156,KEPALA KELUARGA,2015
8,32,JAWA BARAT,25-29,PEREMPUAN,220620,KEPALA KELUARGA,2015
9,32,JAWA BARAT,30-34,LAKI-LAKI,1391276,KEPALA KELUARGA,2015
10,32,JAWA BARAT,30-34,PEREMPUAN,262895,KEPALA KELUARGA,2015
11,32,JAWA BARAT,35-39,LAKI-LAKI,1549757,KEPALA KELUARGA,2015
12,32,JAWA BARAT,35-39,PEREMPUAN,268384,KEPALA KELUARGA,2015
13,32,JAWA BARAT,40-44,LAKI-LAKI,1531915,KEPALA KELUARGA,2015
14,32,JAWA BARAT,40-44,PEREMPUAN,269624,KEPALA KELUARGA,2015
15,32,JAWA BARAT,45-49,LAKI-LAKI,1389214,KEPALA KELUARGA,2015
16,32,JAWA BARAT,45-49,PEREMPUAN,266780,KEPALA KELUARGA,2015
17,32,JAWA BARAT,50-54,LAKI-LAKI,1155807,KEPALA KELUARGA,2015
18,32,JAWA BARAT,50-54,PEREMPUAN,267646,KEPALA KELUARGA,2015
19,32,JAWA BARAT,55-59,LAKI-LAKI,979931,KEPALA KELUARGA,2015
20,32,JAWA BARAT,55-59,PEREMPUAN,275470,KEPALA KELUARGA,2015
21,32,JAWA BARAT,60-64,LAKI-LAKI,709476,KEPALA KELUARGA,2015
22,32,JAWA BARAT,60-64,PEREMPUAN,237723,KEPALA KELUARGA,2015
23,32,JAWA BARAT,65-69,LAKI-LAKI,438049,KEPALA KELUARGA,2015
24,32,JAWA BARAT,65-69,PEREMPUAN,198254,KEPALA KELUARGA,2015
25,32,JAWA BARAT,70-74,LAKI-LAKI,317514,KEPALA KELUARGA,2015
26,32,JAWA BARAT,70-74,PEREMPUAN,164698,KEPALA KELUARGA,2015
27,32,JAWA BARAT,> 75,LAKI-LAKI,309253,KEPALA KELUARGA,2015
28,32,JAWA BARAT,> 75,PEREMPUAN,190555,KEPALA KELUARGA,2015
29,32,JAWA BARAT,15-19,LAKI-LAKI,12289,KEPALA KELUARGA,2017
30,32,JAWA BARAT,15-19,PEREMPUAN,10601,KEPALA KELUARGA,2017
31,32,JAWA BARAT,20-24,LAKI-LAKI,270008,KEPALA KELUARGA,2017
32,32,JAWA BARAT,20-24,PEREMPUAN,74537,KEPALA KELUARGA,2017
33,32,JAWA BARAT,25-29,LAKI-LAKI,930005,KEPALA KELUARGA,2017
34,32,JAWA BARAT,25-29,PEREMPUAN,119622,KEPALA KELUARGA,2017
35,32,JAWA BARAT,30-34,LAKI-LAKI,1408865,KEPALA KELUARGA,2017
36,32,JAWA BARAT,30-34,PEREMPUAN,134766,KEPALA KELUARGA,2017
37,32,JAWA BARAT,35-39,LAKI-LAKI,1689514,KEPALA KELUARGA,2017
38,32,JAWA BARAT,35-39,PEREMPUAN,161155,KEPALA KELUARGA,2017
39,32,JAWA BARAT,40-44,LAKI-LAKI,1602886,KEPALA KELUARGA,2017
40,32,JAWA BARAT,40-44,PEREMPUAN,176967,KEPALA KELUARGA,2017
41,32,JAWA BARAT,45-49,LAKI-LAKI,1550329,KEPALA KELUARGA,2017
42,32,JAWA BARAT,45-49,PEREMPUAN,202092,KEPALA KELUARGA,2017
43,32,JAWA BARAT,50-54,LAKI-LAKI,1232305,KEPALA KELUARGA,2017
44,32,JAWA BARAT,50-54,PEREMPUAN,216609,KEPALA KELUARGA,2017
45,32,JAWA BARAT,55-59,LAKI-LAKI,1047021,KEPALA KELUARGA,2017
46,32,JAWA BARAT,55-59,PEREMPUAN,236780,KEPALA KELUARGA,2017
47,32,JAWA BARAT,60-64,LAKI-LAKI,763130,KEPALA KELUARGA,2017
48,32,JAWA BARAT,60-64,PEREMPUAN,225476,KEPALA KELUARGA,2017
49,32,JAWA BARAT,65-69,LAKI-LAKI,525798,KEPALA KELUARGA,2017
50,32,JAWA BARAT,65-69,PEREMPUAN,194756,KEPALA KELUARGA,2017
51,32,JAWA BARAT,70-74,LAKI-LAKI,304435,KEPALA KELUARGA,2017
52,32,JAWA BARAT,70-74,PEREMPUAN,156603,KEPALA KELUARGA,2017
53,32,JAWA BARAT,> 75,LAKI-LAKI,355439,KEPALA KELUARGA,2017
54,32,JAWA BARAT,> 75,PEREMPUAN,209247,KEPALA KELUARGA,2017
55,32,JAWA BARAT,15-19,LAKI-LAKI,10878,KEPALA KELUARGA,2018
56,32,JAWA BARAT,15-19,PEREMPUAN,8136,KEPALA KELUARGA,2018
57,32,JAWA BARAT,20-24,LAKI-LAKI,268757,KEPALA KELUARGA,2018
58,32,JAWA BARAT,20-24,PEREMPUAN,59269,KEPALA KELUARGA,2018
59,32,JAWA BARAT,25-29,LAKI-LAKI,962969,KEPALA KELUARGA,2018
60,32,JAWA BARAT,25-29,PEREMPUAN,109815,KEPALA KELUARGA,2018
61,32,JAWA BARAT,30-34,LAKI-LAKI,1400340,KEPALA KELUARGA,2018
62,32,JAWA BARAT,30-34,PEREMPUAN,127683,KEPALA KELUARGA,2018
63,32,JAWA BARAT,35-39,LAKI-LAKI,1708507,KEPALA KELUARGA,2018
64,32,JAWA BARAT,35-39,PEREMPUAN,165976,KEPALA KELUARGA,2018
65,32,JAWA BARAT,40-44,LAKI-LAKI,1616061,KEPALA KELUARGA,2018
66,32,JAWA BARAT,40-44,PEREMPUAN,186007,KEPALA KELUARGA,2018
67,32,JAWA BARAT,45-49,LAKI-LAKI,1571423,KEPALA KELUARGA,2018
68,32,JAWA BARAT,45-49,PEREMPUAN,213448,KEPALA KELUARGA,2018
69,32,JAWA BARAT,50-54,LAKI-LAKI,1284082,KEPALA KELUARGA,2018
70,32,JAWA BARAT,50-54,PEREMPUAN,233392,KEPALA KELUARGA,2018
71,32,JAWA BARAT,55-59,LAKI-LAKI,1070054,KEPALA KELUARGA,2018
72,32,JAWA BARAT,55-59,PEREMPUAN,253562,KEPALA KELUARGA,2018
73,32,JAWA BARAT,60-64,LAKI-LAKI,814303,KEPALA KELUARGA,2018
