nama_kabupaten_kota;2020;2021
Kabupaten Bogor;6088233;6088233
Kabupaten Sukabumi;2470219;2470219
Kabupaten Cianjur;2264328;2264328
Kabupaten Bandung;3831505;3831505
Kabupaten Garut;2636637;2636637
Kabupaten Tasikmalaya;1755710;1755710
Kabupaten Ciamis;1201685;1201685
Kabupaten Kuningan;1087105;1087105
Kabupaten Cirebon;2209633;2209633
Kabupaten Majalengka;1210709;1210709
Kabupaten Sumedang;1154428;1154428
Kabupaten Indramayu;1737624;1737624
Kabupaten Subang;1612576;1612576
Kabupaten Purwakarta;971889;971889
Kabupaten Karawang;2370488;2370488
Kabupaten Bekasi;3899017;3899017
Kabupaten Bandung Barat;1714982;1714982
Kabupaten Pangandaran;401493;401493
Kota Bogor;1126927;1126927
Kota Sukabumi;330691;330691
Kota Bandung;2510103;2510103
Kota Cirebon;322322;322322
Kota Bekasi;3075690;3075690
Kota Depok;2484186;2484186
Kota Cimahi;620393;620393
Kota Tasikmalaya;663986;663986
Kota Banjar;183299;183299
